item,canonical_model,subjective_rank,subjective_worth,benchmark_category,dataset,score_mean,objective_rank,subjective_label,objective_source
indextts,indextts,1,0.962534929784353,GENERIC,indextts/default/eng,92.5500030260766,7.0,sim,aggregated_results_sap__libritts.csv
qwen3.tts,qwen3-tts,2,0.791079988365953,GENERIC,qwen3-tts/1.7b-base/eng,93.99124533337503,3.0,sim,aggregated_results_sap__libritts.csv
e2.tts,e2-tts,3,0.67182568139416,GENERIC,e2-tts/default/eng,89.25418226794578,11.0,sim,aggregated_results_sap__libritts.csv
fish.speech,fish-speech,4,0.355839445079671,GENERIC,fish-speech/s1-mini/eng,94.82834092127064,1.0,sim,aggregated_results_sap__libritts.csv
f5.tts,f5-tts,5,0.181825571787109,GENERIC,f5-tts/v1/eng,92.20201063498948,8.0,sim,aggregated_results_sap__libritts.csv
maskgct,maskgct,6,0.140665032548458,GENERIC,maskgct/default/eng,87.23061329714018,15.0,sim,aggregated_results_sap__libritts.csv
recording,recording,7,0.0,GENERIC,recording/default/eng,84.6418039385725,18.0,sim,aggregated_results_sap__libritts.csv
vibevoice,vibevoice,8,-0.419851736565557,GENERIC,vibevoice/default/eng,91.08113745146,10.0,sim,aggregated_results_sap__libritts.csv
voicecraft,voicecraft,9,-0.576927185670687,GENERIC,voicecraft/giga830m_tts_enhanced/eng,87.18922499233986,16.0,sim,aggregated_results_sap__libritts.csv
gpt.sovits,gpt-sovits,10,-0.644218378544644,GENERIC,gpt-sovits/v4/eng,91.57815835901484,9.0,sim,aggregated_results_sap__libritts.csv
hierspeech,hierspeech,11,-0.754505234743026,GENERIC,hierspeech/v1.1/eng,85.65423357845286,17.0,sim,aggregated_results_sap__libritts.csv
styletts2,styletts2,12,-0.787962267314379,GENERIC,styletts2/default/eng,93.86682922635045,4.0,sim,aggregated_results_sap__libritts.csv
tortoise,tortoise,13,-0.827690328166699,GENERIC,tortoise/default/eng,93.82331368767616,5.0,sim,aggregated_results_sap__libritts.csv
vevo,vevo,14,-0.944343404792295,GENERIC,vevo/vevo1.5/eng,88.41300511231066,13.0,sim,aggregated_results_sap__libritts.csv
metavoice,metavoice,15,-1.17557209871395,GENERIC,metavoice/default/eng,87.89311787934697,14.0,sim,aggregated_results_sap__libritts.csv
xtts,xtts,16,-1.28878163920876,GENERIC,xtts/v2/eng,89.12860459691042,12.0,sim,aggregated_results_sap__libritts.csv
whisperspeech,whisperspeech,17,-1.35491983218282,GENERIC,whisperspeech/small/eng,94.53541248403974,2.0,sim,aggregated_results_sap__libritts.csv
openvoice,openvoice,18,-1.53361547255085,GENERIC,openvoice/default/eng,92.97697718556968,6.0,sim,aggregated_results_sap__libritts.csv
styletts2,styletts2,1,2.44697819734404,GENERIC,styletts2/default/eng,93.86682922635045,4.0,intel,aggregated_results_sap__libritts.csv
fish.speech,fish-speech,2,2.33973696175463,GENERIC,fish-speech/s1-mini/eng,94.82834092127064,1.0,intel,aggregated_results_sap__libritts.csv
openvoice,openvoice,3,2.23589580650502,GENERIC,openvoice/default/eng,92.97697718556968,6.0,intel,aggregated_results_sap__libritts.csv
qwen3.tts,qwen3-tts,4,2.20698429417246,GENERIC,qwen3-tts/1.7b-base/eng,93.99124533337503,3.0,intel,aggregated_results_sap__libritts.csv
tortoise,tortoise,5,1.93963770677368,GENERIC,tortoise/default/eng,93.82331368767616,5.0,intel,aggregated_results_sap__libritts.csv
indextts,indextts,6,1.9212030193773,GENERIC,indextts/default/eng,92.5500030260766,7.0,intel,aggregated_results_sap__libritts.csv
f5.tts,f5-tts,7,1.46426118294162,GENERIC,f5-tts/v1/eng,92.20201063498948,8.0,intel,aggregated_results_sap__libritts.csv
whisperspeech,whisperspeech,8,1.20841567669501,GENERIC,whisperspeech/small/eng,94.53541248403974,2.0,intel,aggregated_results_sap__libritts.csv
vibevoice,vibevoice,9,0.92878102689503,GENERIC,vibevoice/default/eng,91.08113745146,10.0,intel,aggregated_results_sap__libritts.csv
xtts,xtts,10,0.48960136589781,GENERIC,xtts/v2/eng,89.12860459691042,12.0,intel,aggregated_results_sap__libritts.csv
e2.tts,e2-tts,11,0.198223341447589,GENERIC,e2-tts/default/eng,89.25418226794578,11.0,intel,aggregated_results_sap__libritts.csv
hierspeech,hierspeech,12,0.0818880149053242,GENERIC,hierspeech/v1.1/eng,85.65423357845286,17.0,intel,aggregated_results_sap__libritts.csv
vevo,vevo,13,0.029618680831655,GENERIC,vevo/vevo1.5/eng,88.41300511231066,13.0,intel,aggregated_results_sap__libritts.csv
recording,recording,14,0.0,GENERIC,recording/default/eng,84.6418039385725,18.0,intel,aggregated_results_sap__libritts.csv
maskgct,maskgct,15,-0.0537024851800524,GENERIC,maskgct/default/eng,87.23061329714018,15.0,intel,aggregated_results_sap__libritts.csv
gpt.sovits,gpt-sovits,16,-0.0710059488697125,GENERIC,gpt-sovits/v4/eng,91.57815835901484,9.0,intel,aggregated_results_sap__libritts.csv
voicecraft,voicecraft,17,-0.653807459549089,GENERIC,voicecraft/giga830m_tts_enhanced/eng,87.18922499233986,16.0,intel,aggregated_results_sap__libritts.csv
metavoice,metavoice,18,-1.07553475807921,GENERIC,metavoice/default/eng,87.89311787934697,14.0,intel,aggregated_results_sap__libritts.csv
indextts,indextts,1,0.962534929784353,INTELLIGIBILITY,indextts/default/eng,83.88676180976238,2.0,sim,aggregated_results_sap__libritts.csv
qwen3.tts,qwen3-tts,2,0.791079988365953,INTELLIGIBILITY,qwen3-tts/1.7b-base/eng,84.72418973939341,1.0,sim,aggregated_results_sap__libritts.csv
e2.tts,e2-tts,3,0.67182568139416,INTELLIGIBILITY,e2-tts/default/eng,82.95230691259285,8.0,sim,aggregated_results_sap__libritts.csv
fish.speech,fish-speech,4,0.355839445079671,INTELLIGIBILITY,fish-speech/s1-mini/eng,80.59965274225895,13.0,sim,aggregated_results_sap__libritts.csv
