item,canonical_model,subjective_rank,subjective_worth,benchmark_category,dataset,score_mean,objective_rank,subjective_label,objective_source
qwen3.tts,qwen3-tts,1,0.317398723409799,GENERIC,qwen3-tts/1.7b-base/eng,91.22657362507216,3.0,sim,aggregated_results_sap_very_high_wer__libritts.csv
indextts,indextts,2,0.163458700013522,GENERIC,indextts/default/eng,87.93387668565039,8.0,sim,aggregated_results_sap_very_high_wer__libritts.csv
recording,recording,3,0.0,GENERIC,recording/default/eng,79.03589664639014,18.0,sim,aggregated_results_sap_very_high_wer__libritts.csv
e2.tts,e2-tts,4,-0.831598125330395,GENERIC,e2-tts/default/eng,86.54948240782323,10.0,sim,aggregated_results_sap_very_high_wer__libritts.csv
f5.tts,f5-tts,5,-1.22124076883453,GENERIC,f5-tts/v1/eng,89.40683625325805,5.0,sim,aggregated_results_sap_very_high_wer__libritts.csv
vibevoice,vibevoice,6,-1.65097131714821,GENERIC,vibevoice/default/eng,85.45896071126003,12.0,sim,aggregated_results_sap_very_high_wer__libritts.csv
fish.speech,fish-speech,7,-1.81283702895312,GENERIC,fish-speech/s1-mini/eng,91.45862653061556,2.0,sim,aggregated_results_sap_very_high_wer__libritts.csv
hierspeech,hierspeech,8,-1.98895599630293,GENERIC,hierspeech/v1.1/eng,81.52235603133254,16.0,sim,aggregated_results_sap_very_high_wer__libritts.csv
voicecraft,voicecraft,9,-2.18098694371845,GENERIC,voicecraft/giga830m_tts_enhanced/eng,84.98729680008148,13.0,sim,aggregated_results_sap_very_high_wer__libritts.csv
tortoise,tortoise,10,-2.20868955441487,GENERIC,tortoise/default/eng,89.24489530996084,6.0,sim,aggregated_results_sap_very_high_wer__libritts.csv
maskgct,maskgct,11,-2.48063080699836,GENERIC,maskgct/default/eng,83.58157800125157,14.0,sim,aggregated_results_sap_very_high_wer__libritts.csv
vevo,vevo,12,-2.5395361116823,GENERIC,vevo/vevo1.5/eng,82.4544664836593,15.0,sim,aggregated_results_sap_very_high_wer__libritts.csv
gpt.sovits,gpt-sovits,13,-2.56398770420866,GENERIC,gpt-sovits/v4/eng,88.46382878181174,7.0,sim,aggregated_results_sap_very_high_wer__libritts.csv
whisperspeech,whisperspeech,14,-2.60623944981779,GENERIC,whisperspeech/small/eng,87.49678084759371,9.0,sim,aggregated_results_sap_very_high_wer__libritts.csv
openvoice,openvoice,15,-2.61233845985587,GENERIC,openvoice/default/eng,90.56905114726167,4.0,sim,aggregated_results_sap_very_high_wer__libritts.csv
